取得日,コード,銘柄名,市場,現在値,前日比(%),PBR(株価純資産倍率)(倍),PER(株価収益率)(倍),ROE(自己資本利益率)(%),海外売上高比率(%),経常利益変化率(%) - 前年度比,自己資本比率(%),財務,配当利回り(%),EPS(予)(一株あたり当期利益)(円),PEG(予)(倍),業績予想修正率(予)(%),経常利益変化率(予)(%) - 1年前,過去3年平均売上高成長率(予)(%)
2026-08-20,4337,ぴあ,東P,"2,789",+67.0 (+2.46%) ,3.98,12.89,36.9,0.00,82.72,9.17,(連),1.25,,,,,
2026-08-20,433A,ＭＪＥ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,4341,西菱電機,東S,885,0.0 (0.00%) ,0.54,12.04,4.5,0.00,46.38,46.02,(連),3.73,,,,,
2026-08-20,4343,イオンファンタジー,東P,"2,905",+50.0 (+1.75%) ,7.32,20.59,38.8,19.37,113.90,12.17,(連),0.52,182.00,0.55,15.87,-5.19,9.34
2026-08-20,4344,ソースネクスト,東P,118,+5.0 (+4.42%) ,,,,,,,,,,,,,
2026-08-20,4345,シーティーエス,東P,831,0.0 (0.00%) ,2.18,12.77,18.8,0.00,18.09,76.22,(連),3.49,67.95,2.75,-2.78,5.79,5.83
2026-08-20,4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,東S,890,+33.0 (+3.85%) ,2.63,12.55,26.6,0.00,50.69,18.03,(連),3.37,,,,,
2026-08-20,4347,ブロードメディア,東S,"1,647",-13.0 (-0.78%) ,2.32,15.01,16.1,0.00,52.43,51.86,(連),3.64,124.90,0.95,-9.84,-26.67,-3.39
2026-08-20,434A,ＬＯＯＰＬＡＣＥ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,4350,メディカルシステムネットワーク,東S,479,-4.0 (-0.83%) ,0.81,13.07,6.4,0.00,0.98,21.58,(連),2.51,,,,,
2026-08-20,4351,山田再生系債権回収総合事務所,東S,822,-1.0 (-0.12%) ,1.04,49.13,2.1,0.00,-9.43,58.11,(連),1.22,,,,,
2026-08-20,4356,応用技術,東S,"1,649",+14.0 (+0.86%) ,1.51,10.29,15.6,0.00,27.93,75.96,(単),2.43,,,,,
2026-08-20,435A,ｉＦ日本配当ローテーション戦略,東ETF,"2,724",+28.0 (+1.04%) ,,,,,,,,,,,,,
2026-08-20,4360,マナック・ケミカル・パートナー,東S,879,+20.0 (+2.33%) ,,,,,,,,,,,,,
2026-08-20,4361,川口化学工業,東S,"1,533",+16.0 (+1.05%) ,0.6,6.25,9.9,21.07,3.59,35.33,(連),3.91,,,,,
2026-08-20,4362,日本精化,東P,"2,708",+81.0 (+3.08%) ,1.14,13.38,8.9,66.79,6.91,78.54,(連),3.62,,,,,
2026-08-20,4365,松本油脂製薬,東S,"20,520",0.0 (0.00%) ,0.67,7.41,9.5,68.53,11.76,84.25,(連),2.19,,,,,
2026-08-20,4366,ダイトーケミックス,東S,443,+7.0 (+1.61%) ,0.87,18.03,5.1,4.65,9.16,56.8,(連),1.81,,,,,
2026-08-20,4368,扶桑化学工業,東P,"3,230",+85.0 (+2.70%) ,2.92,23.88,12.9,55.11,18.19,76.99,(連),0.85,189.31,0.43,0.78,44.71,13.94
2026-08-20,4369,トリケミカル研究所,東P,"3,225",+90.0 (+2.87%) ,2.9,19.00,16.3,81.16,7.70,76.47,(連),1.09,181.80,2.49,5.69,-7.07,24.66
2026-08-20,436A,サイバーソリューションズ,東G,"1,168",+19.0 (+1.65%) ,,,,,,,,,,,,,
2026-08-20,4370,モビルス,東G,304,+8.0 (+2.70%) ,1.34,19.88,6.6,0.00,122.44,61.59,(連),0.00,,,,,
2026-08-20,4371,コアコンセプト・テクノロジー,東G,"1,299",-12.0 (-0.92%) ,4.17,14.47,32.5,0.00,7.62,59.05,(連),1.46,80.70,-1.59,0.00,-9.62,9.54
2026-08-20,4372,ユミルリンク,東G,"1,289",-11.0 (-0.85%) ,1.65,13.62,12.4,0.00,5.49,83.89,(連),1.47,,,,,
